Telemetry_ID,Date_ID,Client_ID,Asset_ID,Power_Consumed_kWh,Avg_CPU_Utilization_Pct,Thermal_Reading_C,System_Alerts
75,20260601,111,5095,1065.39,25.7,33.2,3.0
76,20251018,174,5076,1426.87,57.4,23.1,2.0
77,20250914,283,5025,214.09,84.6,25.7,0.0
78,20260114,121,5096,745.02,63.5,18.7,1.0
79,20260112,189,5015,1368.53,81.7,33.9,0.0
80,20260127,214,5074,891.96,86.8,29.5,2.0
81,20260503,268,5048,1119.54,80.7,21.9,
82,20260413,166,5017,246.07,80.7,26.3,
83,20260805,292,5041,801.03,83.7,,
84,20250915,223,5049,831.59,86.3,34.2,2.0
85,20260104,155,5074,386.11,86.9,33.4,0.0
86,20251212,152,5095,233.32,19.0,30.6,3.0
87,20260621,238,5001,1366.6,69.8,33.4,0.0
88,20251109,170,5040,787.2,25.5,29.9,0.0
89,20251018,244,5008,930.01,26.0,19.0,
90,20260121,279,5076,1332.41,78.9,29.8,0.0
91,20260111,170,5069,400.17,20.3,29.3,3.0
92,20251119,136,5025,,56.1,,3.0
93,20251109,128,5050,541.71,29.8,33.3,0.0
94,20260713,258,5055,829.47,60.8,18.6,
95,20260119,290,5041,426.5,40.4,28.8,1.0
96,20260621,251,5099,,18.3,22.1,0.0
97,20260227,162,5047,247.46,27.7,29.9,1.0
98,20250828,163,5087,308.55,75.7,25.2,0.0
99,20260810,113,5017,670.2,31.4,29.4,2.0
100,20260611,272,5067,1282.86,29.9,19.8,
101,20260730,236,5085,347.69,36.7,19.7,2.0
102,20260715,158,5078,1214.16,28.5,29.3,0.0
103,20260616,264,5076,369.74,14.5,18.2,0.0
104,20251009,160,5029,972.56,30.6,26.3,0.0
105,20260203,114,5014,801.03,86.1,28.5,0.0
106,20251027,126,5051,956.02,78.1,31.6,0.0
107,20260103,206,5002,153.58,60.8,30.7,2.0
108,20250831,185,5069,1095.33,,24.6,
109,20251226,284,5059,842.75,72.6,22.6,0.0
110,20260805,221,5041,1119.72,75.9,26.2,2.0
111,20251115,126,5019,516.67,62.8,32.3,0.0
112,20260523,275,5038,,65.3,26.3,0.0
113,20260123,298,5029,450.65,46.4,22.9,0.0
114,20260111,136,5064,1278.48,66.2,21.0,0.0
115,20260726,102,5088,93.44,40.8,26.5,1.0
116,20260809,241,5059,1159.95,77.0,,
117,20260301,141,5019,1181.07,55.8,32.9,0.0
118,20260429,205,5077,1174.19,21.5,32.8,0.0
119,20251005,268,5037,,33.6,30.9,0.0
120,20251126,222,5019,1301.18,72.0,30.8,2.0
121,20260730,223,5096,1098.48,57.8,26.3,0.0
122,20260309,267,5086,171.27,73.7,,
123,20260224,152,5090,289.14,,23.8,0.0
124,20260510,294,5005,1126.19,24.9,19.5,0.0
125,20250830,174,5077,973.71,19.1,24.0,0.0
126,20260311,183,5041,167.54,51.1,18.9,0.0
127,20260210,174,5040,1047.54,76.0,33.4,1.0
128,20260618,266,5065,747.13,26.0,24.7,2.0
129,20251006,116,5089,1217.79,65.3,33.9,2.0
130,20260727,297,5016,686.52,74.6,19.2,
131,20250908,123,5036,1346.73,17.9,24.1,0.0
132,20251017,267,5091,988.94,44.0,26.0,0.0
133,20260315,247,5074,133.01,15.5,29.8,1.0
134,20260414,160,5062,964.73,84.6,24.2,0.0
135,20251104,237,5081,1454.53,28.3,,0.0
136,20250922,290,5028,87.47,62.8,25.1,0.0
137,20260701,286,5064,267.17,26.3,32.6,0.0
138,20251108,110,5038,562.34,46.4,25.0,
139,20260315,145,5091,599.62,12.4,34.8,
140,20260324,207,5049,216.98,68.9,33.2,0.0
141,20260110,146,5008,1375.68,20.3,34.7,0.0
142,20260311,110,5043,986.13,65.8,27.6,0.0
143,20260217,202,5020,1141.17,70.1,25.1,
144,20260718,227,5092,428.17,92.8,30.7,1.0
145,20251023,148,5027,173.31,,24.6,0.0
146,20260429,292,5094,1228.51,25.3,24.9,
147,20251105,175,5029,920.51,21.3,18.2,0.0
148,20260101,110,5090,885.76,24.6,27.7,0.0
149,20260412,103,5095,741.33,24.5,24.3,2.0
150,20251127,177,5007,762.15,82.3,20.0,1.0
151,20251203,246,5100,1369.87,33.0,25.0,2.0
152,20260512,255,5023,161.08,68.5,32.7,0.0
153,20250905,128,5063,304.8,54.6,19.2,0.0
154,20260124,186,5094,1156.68,77.3,21.5,0.0
155,20260810,173,5051,777.05,71.4,23.7,1.0
156,20260809,217,5039,1193.05,78.9,34.7,2.0
157,20250905,265,5085,505.46,15.2,21.2,3.0
158,20251027,240,5021,729.87,67.3,22.4,2.0
159,20251115,235,5003,785.36,30.9,24.3,1.0
160,20260717,227,5071,727.6,72.3,19.3,3.0
161,20260628,135,5051,114.01,46.9,20.5,
162,20260627,230,5044,120.84,36.2,24.7,0.0
163,20251223,220,5055,1009.95,11.2,24.9,0.0
164,20251006,170,5087,1334.4,85.8,28.1,
165,20260611,150,5061,597.95,18.5,19.4,1.0
166,20260424,129,5045,973.17,77.2,20.5,0.0
167,20260321,185,5097,178.6,34.7,30.1,0.0
168,20260806,142,5051,1099.65,,33.4,1.0
169,20260406,288,5051,448.87,74.7,25.7,3.0
170,20250812,218,5010,267.44,57.0,30.6,2.0
171,20260605,266,5068,,82.5,23.3,0.0
172,20251127,166,5094,228.27,23.2,32.3,0.0
173,20260409,284,5037,648.81,93.7,29.9,1.0
174,20260719,148,5037,1206.67,12.6,24.6,2.0
175,20250928,104,5090,791.94,68.9,26.3,
176,20250921,289,5025,1486.47,30.8,23.2,
177,20250918,187,5090,,81.1,26.2,1.0
178,20260228,176,5071,121.05,41.3,30.8,0.0
179,20251117,246,5051,499.68,69.3,26.6,0.0
180,20260319,273,5013,296.84,36.2,28.3,0.0
181,20260429,294,5017,886.4,45.0,24.9,0.0
182,20251023,150,5042,1107.92,69.6,21.4,0.0
183,20260330,145,5097,851.19,89.7,27.7,
184,20251114,257,5075,107.1,20.0,33.8,0.0
185,20260204,264,5007,731.17,72.5,19.0,0.0
186,20260707,204,5091,639.76,,20.8,0.0
187,20260615,210,5039,398.57,15.5,28.7,
188,20250912,232,5059,923.05,38.6,22.4,1.0
189,20260112,184,5084,940.6,,21.5,0.0
190,20251119,123,5021,717.03,,27.7,0.0
191,20250811,203,5074,564.86,78.2,32.1,0.0
192,20260519,272,5018,1498.17,34.2,21.1,0.0
193,20260331,125,5057,1169.93,36.3,31.0,
194,20251113,148,5090,1178.99,39.9,31.8,
195,20260508,136,5062,1432.0,62.8,30.4,3.0
196,20260227,223,5038,1291.43,62.7,25.2,0.0
197,20260113,183,5019,812.44,15.5,20.3,1.0
198,20250813,164,5027,232.36,26.4,18.1,0.0
199,20250906,102,5028,138.03,13.3,20.0,0.0
200,20260629,167,5096,1212.89,36.4,26.2,2.0
201,20260706,199,5026,1395.8,64.1,24.9,0.0
202,20260225,161,5095,1304.61,35.5,33.6,3.0
203,20260611,215,5084,416.58,37.6,31.0,
204,20260311,293,5002,816.43,17.9,19.9,1.0
205,20251003,169,5047,1340.8,,24.6,
206,20250925,185,5093,1377.09,14.7,34.5,3.0
207,20251130,178,5074,1120.83,87.3,30.8,2.0
208,20260705,250,5014,429.33,25.2,19.5,0.0
209,20260528,286,5087,1113.26,83.1,32.0,
210,20260621,247,5019,1445.12,66.7,32.7,0.0
211,20260705,103,5049,983.48,79.9,22.1,
212,20251025,167,5055,843.84,16.0,34.9,0.0
213,20251109,268,5087,736.78,,29.1,1.0
214,20250916,193,5022,1326.66,37.1,32.2,
215,20260522,278,5008,411.07,37.2,24.2,1.0
216,20260629,161,5013,331.09,32.7,23.9,0.0
217,20260105,116,5046,1091.36,73.7,31.8,2.0
218,20260325,271,5061,,60.5,18.1,3.0
219,20251005,131,5023,989.23,24.9,31.4,0.0
220,20260716,220,5007,629.58,63.9,21.0,0.0
221,20260622,179,5016,401.23,24.8,18.2,1.0
222,20260802,141,5066,1025.85,,21.2,0.0
223,20260602,204,5084,255.18,70.4,25.1,
224,20260628,276,5044,630.12,46.8,21.5,0.0
225,20250819,229,5076,1032.96,66.4,30.5,2.0
226,20260506,281,5056,1102.68,94.9,26.3,0.0
227,20251209,298,5020,806.5,61.0,24.4,0.0
228,20260716,180,5081,985.52,75.9,28.5,0.0
229,20260530,277,5093,,58.4,22.9,0.0
230,20260622,131,5052,495.87,29.9,31.0,0.0
231,20260602,264,5032,481.5,55.7,26.9,0.0
232,20251115,176,5005,80.03,17.9,31.6,
233,20260525,195,5016,1325.2,,18.0,1.0
234,20250918,258,5031,1146.9,81.0,23.1,0.0
235,20260625,157,5051,239.24,63.1,18.1,
236,20260620,157,5063,1097.26,56.1,34.6,0.0
237,20251030,135,5039,1275.31,74.1,18.6,
238,20260604,223,5089,674.79,61.8,32.5,1.0
239,20260125,140,5077,200.93,11.4,20.7,0.0
240,20251129,217,5023,1443.12,62.8,21.5,2.0
241,20260528,292,5084,415.18,29.6,21.7,
242,20251101,256,5096,719.85,77.5,20.2,0.0
243,20250818,196,5049,109.13,20.8,31.0,1.0
244,20251019,207,5100,615.77,65.6,21.0,1.0
245,20251208,280,5089,1420.91,83.0,25.6,0.0
246,20260622,241,5086,965.87,35.0,32.7,2.0
247,20260729,221,5085,277.17,42.2,34.8,
248,20251120,294,5012,1421.91,,21.5,0.0
249,20260401,238,5100,591.81,53.6,31.5,0.0
250,20260103,271,5060,471.39,26.0,20.2,1.0
251,20260804,156,5084,1316.53,44.9,30.3,
252,20260222,296,5049,320.55,27.1,31.4,2.0
253,20260719,164,5036,1193.56,,32.3,
254,20250921,275,5081,1095.63,,19.4,
255,20260731,294,5084,,61.4,27.5,0.0
256,20251014,253,5057,838.03,90.9,29.7,0.0
257,20260728,121,5048,321.09,31.9,20.6,3.0
258,20251115,235,5002,327.92,50.2,34.4,0.0
259,20250918,215,5016,1304.93,18.7,32.2,2.0
260,20260116,236,5015,1107.41,91.4,27.2,
261,20260503,281,5011,1019.56,54.8,29.7,
262,20251202,193,5016,731.26,47.1,25.3,
263,20260319,120,5063,496.21,62.0,32.0,
264,20260213,245,5083,1198.54,72.2,30.0,0.0
265,20251228,129,5086,1301.47,53.2,27.9,0.0
266,20260309,116,5066,793.82,76.0,26.6,0.0
267,20251111,241,5029,1441.96,40.8,34.7,2.0
268,20260426,230,5003,,34.5,34.4,0.0
269,20250810,152,5076,1378.6,34.2,29.2,
270,20260714,247,5074,82.61,71.8,27.6,0.0
271,20260223,238,5074,377.51,,21.4,1.0
272,20260430,139,5062,208.0,,29.0,
273,20260508,143,5036,400.09,90.3,29.3,0.0
274,20260412,184,5089,,57.1,19.1,0.0
275,20251221,234,5096,,39.2,19.8,0.0
276,20250904,214,5013,,48.2,29.1,0.0
277,20260410,130,5076,449.38,27.4,20.8,0.0
278,20251208,275,5024,1101.97,79.8,31.0,
279,20251202,153,5050,244.67,11.8,25.9,3.0
280,20260616,284,5062,934.64,83.3,31.5,0.0
281,20260430,250,5083,1060.93,23.9,18.5,0.0
282,20251127,226,5090,1026.83,74.5,34.0,2.0
283,20251201,124,5056,,57.6,28.8,0.0
284,20260106,231,5039,470.06,86.8,25.2,0.0
285,20260104,215,5074,976.67,54.5,24.7,0.0
286,20251126,115,5017,1490.03,62.8,24.7,0.0
287,20250925,217,5013,472.5,41.7,30.2,0.0
288,20260110,134,5042,,33.1,28.5,0.0
289,20260720,232,5009,363.39,93.8,26.2,0.0
290,20260414,207,5092,,50.8,26.6,3.0
291,20260706,217,5069,1244.71,63.7,29.1,0.0
292,20260323,245,5024,331.78,10.7,20.7,
293,20251128,115,5052,813.01,58.4,34.2,0.0
294,20260226,244,5090,901.33,78.6,23.5,0.0
295,20250810,219,5003,,61.4,26.8,0.0
296,20251123,273,5051,227.16,91.6,23.7,0.0
297,20260114,179,5072,1106.25,34.1,21.3,0.0
298,20260310,286,5069,1219.72,27.8,34.6,0.0
299,20260406,106,5068,1218.62,,,0.0
300,20260127,202,5063,180.58,81.4,18.8,0.0
301,20260118,166,5009,1081.39,50.0,20.9,0.0
302,20251027,101,5067,709.38,,29.3,3.0
303,20260130,291,5075,726.35,32.0,22.7,
304,20260705,156,5069,1323.96,20.6,34.9,0.0
305,20260528,249,5092,229.48,56.7,32.2,0.0
306,20251011,119,5084,120.08,27.1,26.3,0.0
307,20250910,112,5016,,13.2,21.7,0.0
308,20260214,209,5097,399.59,60.3,28.8,0.0
309,20260329,189,5097,182.56,60.0,21.4,2.0
310,20251210,280,5027,1034.24,33.3,30.6,0.0
311,20260605,117,5085,764.24,,29.2,1.0
312,20260511,239,5016,245.33,90.7,20.6,2.0
313,20260413,116,5024,983.84,28.0,22.3,3.0
314,20251031,118,5077,1499.19,33.4,23.8,2.0
315,20251021,221,5089,106.86,,32.4,0.0
316,20250818,109,5024,,72.0,25.6,3.0
317,20251107,174,5001,100.4,64.8,29.7,0.0
318,20260130,205,5072,161.42,66.7,25.0,0.0
319,20260617,147,5058,171.6,53.9,32.1,
320,20250905,297,5041,,46.9,27.9,1.0
321,20260108,135,5016,1153.96,48.2,23.8,0.0
322,20260328,297,5006,770.17,55.8,31.8,2.0
323,20251020,265,5017,1444.47,59.2,32.1,0.0
324,20260421,287,5074,1487.56,48.8,30.4,
325,20260206,266,5027,188.2,44.7,18.9,0.0
326,20251107,208,5084,,19.1,24.8,0.0
327,20260407,196,5021,1294.65,69.5,25.7,
328,20250812,198,5012,1179.42,82.7,19.0,0.0
329,20260511,215,5072,1094.41,11.9,31.4,0.0
330,20260518,197,5033,810.49,,20.1,0.0
331,20250918,197,5097,62.15,,32.6,2.0
332,20260112,121,5005,1371.69,59.7,24.8,0.0
333,20251013,275,5011,352.62,17.2,20.6,1.0
334,20260726,270,5016,88.53,32.2,,0.0
335,20260215,239,5065,1225.5,47.4,28.6,0.0
336,20250828,135,5039,899.83,17.0,31.5,
337,20251109,268,5047,535.15,12.2,28.3,2.0
338,20260616,190,5070,651.78,74.5,26.5,0.0
339,20260124,131,5022,847.12,77.9,20.7,1.0
340,20260530,146,5055,1264.52,32.2,30.3,1.0
341,20260411,238,5085,809.61,90.9,34.3,2.0
342,20260806,201,5001,69.02,70.8,22.0,1.0
343,20260315,236,5032,1048.18,90.4,26.5,
344,20260723,133,5039,534.09,18.7,20.9,
345,20260702,287,5006,973.41,43.3,18.1,0.0
346,20260322,158,5067,771.16,80.5,30.1,0.0
347,20260430,101,5038,1107.43,45.6,23.6,0.0
348,20260210,294,5085,1243.41,71.9,22.7,2.0
349,20260609,106,5069,914.3,10.0,25.9,1.0
350,20260226,177,5057,1442.53,,26.4,0.0
351,20260704,219,5018,1366.51,56.1,22.6,2.0
352,20260509,273,5074,1379.17,52.9,19.5,3.0
353,20260130,285,5063,1329.31,90.2,24.8,0.0
354,20251112,240,5089,1036.18,68.3,19.4,0.0
355,20251108,209,5041,618.05,42.7,32.6,0.0
356,20260331,237,5067,934.13,66.3,25.5,0.0
357,20260517,198,5046,,,32.3,0.0
358,20260216,159,5078,,85.4,20.3,
359,20260327,164,5069,160.57,68.1,,
360,20251118,218,5066,,27.4,20.8,0.0
361,20250907,189,5027,1222.34,69.0,20.3,2.0
362,20251122,140,5089,1312.72,92.4,34.1,
363,20251117,171,5013,976.97,41.3,30.8,3.0
364,20251205,149,5085,883.79,85.4,19.8,0.0
365,20260223,286,5006,207.84,93.6,27.6,1.0
366,20250929,296,5031,473.75,58.9,23.6,
367,20251102,129,5005,385.46,,22.6,0.0
368,20260420,109,5025,818.34,85.1,33.8,0.0
369,20260425,270,5019,547.28,94.3,29.3,0.0
370,20250902,208,5039,88.25,33.7,18.4,2.0
371,20260106,258,5028,251.98,74.6,32.6,0.0
372,20260224,297,5018,1495.55,11.4,,2.0
373,20260109,105,5078,332.32,38.5,23.2,0.0
374,20251024,162,5071,1231.67,44.8,32.5,
375,20260110,153,5028,278.63,82.8,27.9,0.0
376,20260707,118,5076,362.6,59.0,23.0,1.0
377,20260311,126,5046,922.85,90.6,29.4,
378,20260421,253,5036,264.43,,30.7,
379,20260619,109,5017,398.21,36.4,22.4,0.0
380,20260517,215,5094,448.78,21.5,32.6,0.0
381,20251227,254,5080,539.66,70.5,25.8,0.0
382,20250812,273,5055,161.28,86.6,32.2,0.0
383,20251216,281,5010,419.96,86.6,34.8,0.0
384,20260512,113,5071,102.9,77.6,32.7,
385,20260618,163,5033,1131.72,46.9,19.3,3.0
386,20260724,290,5034,1109.55,50.1,33.0,
387,20260110,112,5049,,69.8,33.6,0.0
388,20260510,203,5084,827.35,60.0,27.1,0.0
389,20260225,213,5021,1413.97,86.5,25.4,0.0
390,20260318,160,5052,112.14,78.1,28.6,
391,20251029,239,5059,581.91,20.6,18.3,
392,20251029,156,5011,80.82,91.5,30.5,0.0
393,20260116,294,5033,1198.45,,33.0,
394,20250820,299,5087,394.59,38.1,18.6,0.0
395,20251211,115,5055,1406.61,93.3,33.2,0.0
396,20260415,136,5089,671.57,68.0,32.5,0.0
397,20260104,229,5019,1451.12,30.5,29.9,0.0
398,20251009,175,5069,,,28.1,0.0
399,20260128,160,5027,803.04,70.0,30.2,0.0
400,20250925,288,5010,189.18,51.7,30.7,3.0
401,20260325,248,5081,1132.2,73.3,26.8,3.0
402,20250819,182,5094,668.45,74.2,20.4,
403,20260101,248,5035,1277.48,84.3,21.5,0.0
404,20260304,254,5082,1411.33,35.6,29.8,3.0
405,20250819,298,5090,1418.58,94.4,34.5,3.0
406,20260402,273,5083,1318.5,16.1,31.3,
407,20250928,183,5025,130.31,45.0,24.2,2.0
408,20260125,161,5092,1333.16,74.2,33.9,0.0
409,20250828,178,5048,573.92,54.0,28.0,0.0
410,20251226,137,5073,626.85,34.4,21.2,0.0
411,20251026,270,5085,930.77,30.8,31.7,2.0
412,20251207,234,5083,1236.35,73.6,33.7,0.0
413,20260515,157,5066,1155.97,83.1,27.8,1.0
414,20251226,206,5078,610.11,83.8,22.8,
415,20260512,177,5021,1043.12,67.0,20.6,0.0
416,20260610,171,5054,155.39,26.6,25.8,
417,20251110,116,5020,1413.45,53.5,25.1,2.0
418,20250908,243,5041,358.64,28.8,19.8,2.0
419,20250817,252,5056,1431.54,71.2,31.2,0.0
420,20260223,289,5049,1163.01,17.2,29.4,0.0
421,20260810,145,5004,418.34,75.4,25.0,3.0
422,20251216,261,5078,543.77,82.3,30.0,1.0
423,20260404,274,5032,125.48,22.0,26.4,0.0
424,20260522,210,5010,673.2,56.7,18.7,3.0
425,20260405,243,5035,847.92,42.1,33.9,0.0
426,20260513,227,5016,682.55,38.3,20.3,0.0
427,20260723,113,5069,207.72,92.2,29.4,
428,20251021,189,5015,958.25,61.9,18.5,0.0
429,20250817,265,5088,753.64,27.7,32.6,0.0
430,20251004,272,5071,1156.43,74.5,21.8,
431,20250925,198,5053,984.02,64.6,28.8,0.0
432,20260412,235,5009,256.76,52.8,21.6,0.0
433,20260304,182,5043,355.74,41.4,34.0,2.0
434,20251028,279,5082,810.51,87.1,19.7,3.0
435,20260423,207,5012,432.49,86.8,19.1,1.0
436,20260517,205,5047,1137.01,51.6,18.2,2.0
437,20251010,139,5043,108.5,39.8,33.5,0.0
438,20260320,177,5100,401.05,42.0,28.5,0.0
439,20260510,197,5035,1349.72,50.4,24.7,2.0
440,20250920,148,5019,57.19,85.8,26.1,0.0
441,20260605,294,5029,815.32,42.9,34.6,0.0
442,20260729,238,5036,698.77,45.3,25.5,1.0
443,20250918,222,5002,331.4,14.4,34.1,0.0
444,20250819,162,5013,,26.5,21.4,0.0
445,20251202,158,5049,741.49,45.9,25.5,
446,20260414,177,5029,1017.3,31.6,23.0,0.0
447,20260726,282,5049,847.92,,22.3,0.0
448,20260102,137,5014,1345.9,28.0,21.8,1.0
449,20260428,219,5016,247.92,60.6,33.2,1.0
450,20250906,115,5023,116.87,44.3,24.1,3.0
451,20260419,244,5068,388.93,76.4,26.2,2.0
452,20260327,206,5094,592.74,42.1,25.8,1.0
453,20250916,207,5040,1099.59,72.8,19.7,0.0
454,20260519,243,5076,127.43,30.8,28.7,0.0
455,20260617,236,5063,1017.19,18.9,18.0,
456,20260317,135,5013,704.72,16.1,24.9,0.0
457,20250923,200,5068,1056.25,91.9,32.6,0.0
458,20260805,163,5045,928.24,26.7,26.3,0.0
459,20260523,166,5090,118.86,41.5,22.9,
460,20251215,153,5074,583.95,67.8,32.7,1.0
461,20260113,185,5037,868.47,,21.3,0.0
462,20251223,266,5071,1075.94,70.7,24.9,
463,20260211,121,5035,1214.77,,26.1,0.0
464,20251212,216,5078,464.36,14.1,23.4,1.0
465,20260616,195,5013,313.58,85.0,24.6,0.0
466,20260606,124,5007,72.87,81.2,25.7,0.0
467,20250917,238,5022,,,28.2,0.0
468,20260727,286,5041,,35.6,19.3,0.0
469,20260330,149,5097,895.2,83.6,22.3,0.0
470,20260609,114,5050,290.12,49.2,28.1,2.0
471,20260425,169,5024,1146.52,85.3,28.0,0.0
472,20260116,197,5045,1073.93,24.7,30.6,1.0
473,20260505,273,5095,954.47,45.1,23.8,0.0
474,20260729,255,5087,957.65,21.6,34.8,0.0
475,20251116,255,5069,1161.61,30.8,33.2,0.0
476,20260601,111,5071,880.44,43.4,29.1,
477,20260222,119,5077,595.01,55.7,26.4,0.0
478,20260202,149,5052,,69.2,34.4,0.0
479,20260116,295,5062,479.8,53.3,30.2,0.0
480,20260504,251,5076,851.41,86.6,18.9,0.0
481,20251116,286,5017,926.76,57.1,24.0,3.0
482,20260617,272,5034,920.45,85.4,34.5,0.0
483,20260610,244,5002,1108.15,51.5,25.3,2.0
484,20250910,156,5088,1033.5,52.2,20.1,
485,20260628,223,5066,1472.79,76.6,32.4,0.0
486,20251107,154,5092,711.49,92.1,23.6,
487,20260127,186,5020,1339.27,83.0,34.7,3.0
488,20260321,178,5085,478.54,,20.3,1.0
489,20251226,104,5017,826.13,68.2,28.0,1.0
490,20250820,155,5019,,65.3,21.0,
491,20260617,149,5049,606.94,90.0,32.3,
492,20251015,290,5073,1430.31,81.3,25.1,2.0
493,20251026,131,5095,409.89,70.6,23.4,0.0
494,20260529,292,5035,,21.8,34.7,2.0
495,20251212,294,5007,199.27,40.1,31.2,1.0
496,20260628,223,5093,80.85,26.2,33.2,
497,20260423,163,5082,775.64,73.7,29.7,
498,20251119,279,5048,498.91,76.9,27.6,0.0
499,20250813,255,5091,947.24,84.6,26.8,0.0
500,20260722,281,5100,1463.54,83.9,23.2,3.0
501,20250910,153,5032,331.95,91.8,32.4,0.0
502,20260430,202,5087,303.93,76.6,31.3,0.0
503,20260204,162,5078,326.04,50.5,24.6,2.0
504,20260514,242,5054,318.18,49.6,32.1,1.0
505,20260419,183,5091,1181.49,57.4,28.3,
506,20260403,299,5059,1238.08,33.9,,0.0
507,20260205,173,5024,476.93,32.5,30.5,3.0
508,20260527,198,5057,254.87,22.8,18.7,
509,20250913,220,5046,1455.21,,19.2,
510,20251030,237,5060,636.11,50.8,27.9,2.0
511,20260420,267,5065,861.78,49.7,18.9,0.0
512,20251130,192,5037,1409.42,16.8,33.1,0.0
513,20260310,179,5036,641.34,60.7,18.6,
514,20260130,167,5055,1064.53,39.8,21.6,
515,20260220,193,5067,1485.53,35.3,26.6,
516,20260112,232,5092,735.82,,23.4,2.0
517,20260510,228,5030,627.09,74.1,24.7,0.0
518,20251209,220,5040,220.69,75.2,33.6,
519,20260424,126,5082,1157.5,65.4,30.1,3.0
520,20251117,285,5012,1459.9,27.7,28.7,3.0
521,20251110,221,5040,94.25,62.9,30.4,0.0
522,20250923,295,5053,690.88,14.9,22.8,1.0
523,20251019,182,5099,1136.45,12.7,32.4,
524,20250922,153,5041,498.78,71.0,30.8,2.0
525,20260222,195,5012,1417.4,58.5,21.9,0.0
526,20260515,181,5082,1100.38,33.6,27.8,0.0
527,20251016,206,5011,803.99,12.8,34.5,0.0
528,20251028,112,5010,369.58,44.8,27.4,0.0
