Client_ID,Company_Size,Industry,Contract_Tier,HQ_Region
264,Startup,Fintech,Premium,Dar es Salaam
265,Mid-Market,SaaS,Premium,Nairobi West
266,Enterprise,Fintech,Premium,Nairobi West
267,Public Sector,SaaS,Dedicated,Nairobi West
268,Mid-Market,Healthcare,Premium,Kigali
269,Mid-Market,Healthcare,Premium,Mombasa
270,Public Sector,SaaS,Standard,Dar es Salaam
271,Mid-Market,E-Commerce,Standard,Dar es Salaam
272,Public Sector,E-Commerce,,Dar es Salaam
273,Public Sector,Healthcare,Premium,Mombasa
274,Mid-Market,Healthcare,Dedicated,Nairobi East
275,Startup,Fintech,Dedicated,Nairobi West
276,Startup,Healthcare,Standard,Mombasa
277,Public Sector,SaaS,Dedicated,Nairobi West
278,Enterprise,E-Commerce,Premium,Mombasa
279,Public Sector,E-Commerce,Premium,Nairobi West
280,Public Sector,Fintech,Standard,Mombasa
281,Public Sector,E-Commerce,Premium,Nairobi East
282,Startup,E-Commerce,Premium,Dar es Salaam
283,,Media,Premium,Nairobi West
284,Startup,SaaS,Premium,Mombasa
285,Public Sector,Media,Dedicated,Nairobi East
286,Enterprise,E-Commerce,Dedicated,Nairobi East
287,Startup,,Dedicated,Dar es Salaam
288,Mid-Market,Fintech,Dedicated,Mombasa
289,Mid-Market,E-Commerce,Dedicated,Nairobi West
290,Mid-Market,Healthcare,Standard,Kigali
291,Public Sector,Media,,Nairobi East
292,Mid-Market,,Standard,Nairobi East
293,Public Sector,Fintech,,Dar es Salaam
294,Mid-Market,Fintech,Premium,Mombasa
295,Enterprise,Media,Premium,Kigali
296,Public Sector,SaaS,Standard,Kigali
297,Mid-Market,E-Commerce,Premium,Kigali
298,Startup,E-Commerce,Premium,Mombasa
299,Public Sector,SaaS,Dedicated,Nairobi West
300,Startup,Media,Dedicated,Nairobi East
